adult,genres,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,status,title,vote_average,vote_count
FALSE,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,tt0112346,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/17,107879496,106,Released,The American President,6.5,199
FALSE,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,tt0112896,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Enigma Pictures', 'id': 6368}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,0,88,Released,Dracula: Dead and Loving It,5.7,210
FALSE,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,tt0112453,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,11348324,78,Released,Balto,7.1,423
FALSE,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",10858,tt0113987,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,13681765,192,Released,Nixon,7.1,72
FALSE,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,10017322,119,Released,Cutthroat Island,5.7,137
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,tt0112641,en,Casino,The life of the gambling paradise �C Las Vegas �C and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'L��gende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/22,116112375,178,Released,Casino,7.8,1343
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,tt0114388,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/13,135000000,136,Released,Sense and Sensibility,7.2,364
FALSE,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/9,4300000,98,Released,Four Rooms,6.5,539
FALSE,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",9273,tt0112281,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/10,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128
FALSE,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,tt0113845,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/21,35431113,103,Released,Money Train,5.4,224
FALSE,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8012,tt0113161,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/20,115101622,105,Released,Get Shorty,6.4,305
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1710,tt0112722,en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/27,0,124,Released,Copycat,6.5,199
FALSE,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9691,tt0112401,en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Donner/Shuler-Donner Productions', 'id': 23397}, {'name': 'Evansgideon/Lazar', 'id': 25061}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/6,30303072,132,Released,Assassins,6,394
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",12665,tt0114168,en,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/27,0,111,Released,Powder,6.3,143
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",451,tt0113627,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Intial Productions', 'id': 15547}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/27,49800000,112,Released,Leaving Las Vegas,7.1,365
FALSE,"[{'id': 18, 'name': 'Drama'}]",16420,tt0114057,en,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1995/12/15,0,123,Released,Othello,7,33
FALSE,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",9263,tt0114011,en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,"[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/20,27400000,100,Released,Now and Then,6.6,91
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17015,tt0114117,en,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,/si8911IezMvAnQFDvyg1nKzDlD.jpg,"[{'name': 'BBC Films', 'id': 288}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1995/9/27,0,104,Released,Persuasion,7.4,36
FALSE,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",902,tt0112682,fr,La Cit�� des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,"[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cin��ma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisi��n Espa?ola (TVE)', 'id': 6639}, {'name': 'Tele M��nchen Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement M��dia"", 'id': 8170}, {'name': 'Canal+ Espa?a', 'id': 9335}, {'name': 'El��as Querejeta Producciones Cinematogr��ficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cin��matographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumi��re Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1995/5/16,1738611,108,Released,The City of Lost Children,7.6,308
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",37557,tt0115012,zh,ҡ��ҡ��ҡ��������,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1.100915,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,"[{'name': 'Minist��re des Affaires ��trang��res', 'id': 2588}, {'name': 'Alpha Films', 'id': 4507}, {'name': 'La Sept Cin��ma', 'id': 23647}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1995/4/30,0,108,Released,Shanghai Triad,6.5,17
FALSE,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9909,tt0112792,en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Via Rosa Productions', 'id': 10103}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/8/11,180000000,99,Released,Dangerous Minds,6.4,249
FALSE,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",63,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/29,168840000,129,Released,Twelve Monkeys,7.4,2470
FALSE,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",78802,tt0114952,fr,"Guillaumet, les ailes du courage",,0.745542,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,"[{'name': 'Iwerks Entertainment', 'id': 70801}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996/9/18,0,50,Released,Wings of Courage,6.8,4
FALSE,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9598,tt0112431,en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kennedy Miller Productions', 'id': 2537}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/7/18,254134910,89,Released,Babe,6,756
FALSE,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",47018,tt0112637,en,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,"[{'name': 'StudioCanal', 'id': 694}, {'name': 'Cin��a', 'id': 874}, {'name': 'Euston Films', 'id': 8363}, {'name': 'Freeway Films', 'id': 19316}, {'name': 'European Co-production Fund', 'id': 30226}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}, {'name': 'Orsans Productions', 'id': 44821}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995/11/8,0,121,Released,Carrington,6.4,16
FALSE,"[{'id': 18, 'name': 'Drama'}]",687,tt0112818,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,"[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995/12/29,39363635,122,Released,Dead Man Walking,7.3,350
FALSE,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",139405,tt0112286,en,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,/lKOAyy098yjoot8cutYsStVO1WS.jpg,"[{'name': 'Sony New Technologies', 'id': 53390}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/20,0,51,Released,Across the Sea of Time,3.5,2
FALSE,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",33689,tt0113442,en,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,"[{'name': 'Dualstar Productions', 'id': 6130}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Rysher Entertainment', 'id': 11661}, {'name': 'Orr & Cruickshank', 'id': 89131}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/17,0,101,Released,It Takes Two,6.1,149
